,CODAUTO,CPRO,CMUN,DC,NOMBRE,COMARCA,CODMUN,NOMBRE_COMARCA,SALARIO_MEAN_2019,SALARIO_MEAN_2018,SALARIO_MEAN_2017,SALARIO_MEAN_2016,SALARIO_MEAN_2015,SALARIO_SD_2019,SALARIO_SD_2018,SALARIO_SD_2017,SALARIO_SD_2016,SALARIO_SD_2015,SALARIO_MEAN_2014,SALARIO_MEAN_2013,SALARIO_MEAN_2012,SALARIO_MEAN_2011,SALARIO_MEAN_2010,SALARIO_MEAN_2020,SALARIO_MEAN_2021,GASTO_MEAN_2015,GASTO_MEAN_2016,GASTO_MEAN_2017,GASTO_MEAN_2018,GASTO_MEAN_2019,GASTO_MEAN_2020,GASTO_MEAN_2014,GASTO_MEAN_2013,GASTO_MEAN_2012,GASTO_MEAN_2011,GASTO_MEAN_2010
0,06,39,027,9,Campoo de Enmedio,2,39027,Campoo-Los Valles,13164.5,12679.166666666666,12243.833333333334,12243.833333333334,11610.833333333334,384.6629477001045,413.03567911528205,341.2874725050553,341.2874725050553,357.63361916290194,10869.527984244965,10890.550076234038,11493.552188552188,11611.939759227496,12262.5181849946,13750.188119623104,13858.049651782056,314.5277777777778,329.406982004926,313.22347222222214,322.64386720871346,371.9444444444445,361.9766956882256,387.7359041110211,361.76586166817003,350.3416693823132,367.9580236857425,369.383355377995
1,06,39,017,1,Campoo de Yuso,2,39017,Campoo-Los Valles,11635.0,11119.0,10669.0,10669.0,9967.0,0.0,0.0,0.0,0.0,0.0,9330.646845816656,9348.692681532304,9866.323232323233,9967.94978082714,10526.420907185058,12152.640721015976,12247.970503891847,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,408.4479882972869,377.8682441189789,363.40904146316643,390.8988924573637,364.32301400930584
2,06,39,032,4,Hermandad de Campoo de Suso,2,39032,Campoo-Los Valles,15194.25,14546.75,14038.75,14038.75,13442.75,87.98685981440637,81.67427685630281,70.19748927134076,70.19748927134076,82.3115271392774,12584.484086144463,12608.822970268724,13306.964646464647,13444.030993901279,14197.255407852106,15870.241622285948,15994.733633756658,366.30154565000385,370.8944569646049,328.1558333333333,359.55555555555566,400.0,425.9599519052904,287.6536098354189,391.46877175962254,303.15515570382024,418.2460186343993,389.6302270690661
3,06,39,051,4,Pesquera,2,39051,Campoo-Los Valles,12205.0,11239.0,11293.0,10670.0,10494.0,,,,,,9824.0,9843.0,10388.0,10495.0,11083.0,12748.0,12848.0,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,405.90698899112414,394.96999469046904,333.03893311834673,385.1006046741332,397.0012018487795
4,06,39,059,1,Reinosa,2,39059,Campoo-Los Valles,13604.23076923077,13185.692307692309,12717.538461538461,12717.538461538461,12012.538461538461,935.7307431460393,954.10129962223,912.2402361882039,912.2402361882039,713.9738861185132,11245.585843925466,11267.33524651449,11891.19968919969,12013.683166937886,12686.769941798246,14209.482494564018,14320.946900702738,308.16678972778936,293.2416666666667,299.92194444444453,341.6666666666667,348.3892758715627,322.080938524195,282.4734923761545,289.2813596988752,311.86290883258783,331.7687879202736,297.0890271565797
5,06,39,065,1,"Rozas de Valdearroyo, Las",2,39065,Campoo-Los Valles,12470.0,12995.0,11648.0,11648.0,11362.0,0.0,0.0,0.0,0.0,0.0,10636.581665713742,10657.153230417382,11247.232323232325,11363.082713931773,11999.718505812847,13024.789840229414,13126.961081523967,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,372.9060059703916,370.5063521901383,360.17125664714973,383.460319523538,419.3235971739055
6,06,39,070,3,San Miguel de Aguayo,2,39070,Campoo-Los Valles,12146.0,11396.0,10810.0,10810.0,10398.0,0.0,0.0,0.0,0.0,0.0,9734.129216695255,9752.955403087479,10292.969696969698,10398.990851915381,10981.61177815895,12686.375092175338,12785.891683736174,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,395.92099770170523,394.0358472509539,373.6372065155196,384.79594469242943,386.98052097650094
7,06,39,077,8,Santiurde de Reinosa,2,39077,Campoo-Los Valles,14503.0,13384.0,12588.0,12588.0,13179.0,0.0,0.0,0.0,0.0,0.0,12337.573470554602,12361.434819897084,13045.878787878788,13180.25586049171,13918.701829616924,15148.23793527243,15267.06628430971,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,392.00352404943544,348.37446554821173,381.9318702503714,414.55467388383806,367.90606143165746
8,06,39,092,1,Valdeolea,2,39092,Campoo-Los Valles,13860.0,13187.0,12399.0,12399.0,12018.0,0.0,0.0,0.0,0.0,0.0,11250.698684962836,11272.457975986277,11896.60606060606,12019.14522584334,12692.538021726701,14476.630888979926,14590.190905366653,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,392.94898589620624,389.71338466276774,384.7790780001732,385.9823551020116,382.71205324560333
9,06,39,093,7,Valdeprado del RÃ­o,2,39093,Campoo-Los Valles,15574.0,14627.0,15080.0,15080.0,13259.0,0.0,0.0,0.0,0.0,0.0,12412.465789975224,12436.471983990852,13125.070707070709,13260.263483895562,14003.19201448447,16266.886685784513,16394.49012699713,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,394.13331760735366,400.648941470678,387.5366782871974,399.12154376402884,363.10830946694904,392.3661119671047
10,06,39,094,2,Valderredible,2,39094,Campoo-Los Valles,13262.0,12185.0,11783.0,11783.0,11413.0,0.0,0.0,0.0,0.0,0.0,10684.325519344387,10704.989422527158,11297.717171717173,11414.087573851728,12053.580998665906,13852.025891028266,13960.686276116347,366.30154565000385,370.8944569646049,363.71680555555554,384.83879537728126,416.8865372829931,321.90177969683504,294.92204863270274,353.72821995500385,362.35507636348075,377.95962820790294,390.4012884495162
11,06,39,075,9,Santander,7,39075,Metropolitana de Santander,14229.448717948719,13733.301282051281,13306.891025641025,13306.891025641025,12619.551282051281,3589.49002037121,3541.1669296055065,3373.0550798138356,3373.0550798138356,3108.9864501747434,11813.843319503696,11836.691754262509,12492.081067081068,12620.753831249116,13327.852759574458,14862.51636676856,14979.103410750115,476.21006944444446,490.0347222222222,513.5659722222222,515.4890920781892,547.2124288159653,538.7472222222221,516.1154894555555,483.8552474405386,522.9834990167911,488.39132515671184,529.4155858550045
