DC,CODMUN,LONGITUD_E,LATITUD_ET,CODAUTO,CPRO,CMUN,NOMBRE,COMARCA,NOMBRE_COMARCA,MINMDT,MAXMDT,MEANMDT,STDMDT,MINPENDI,MAXPENDI,MEANPENDI,STDPENDI,MINDISN10M,MAXDISN10M,MEANDISN10M,STDDISN10M,MINCARRETN,MAXCARRETN,MEANCARRETN,STDCARRETN,MINDISAUT,MAXDISAUT,MEANDISAUT,STDDISAUT,MINDISFERR,MAXDISFERR,MEANDISFERR,STDDISFERR,DISTHOSPIT,DISTFARMA,DISTCEDUC,DISTCURGH,DISTATPRIM
9,39027,-4.1279202735,42.99275126375,06,39,027,Campoo de Enmedio,2,Campoo-Los Valles,702,1439,976.212989,136.082903,0.0,34.526546,9.379957,6.511628,637.391919,9486.587212,4753.581507,2045.203692,11.437139,5708.221043,2272.772098,1212.461555,16.376935,4805.331281,2026.39633,1069.265203,71.5341,6080.875368,3361.525856,1153.91503,41384.477904,4449.289411,4427.385268,4596.743851,3776.479906
1,39017,-4.001016717571429,43.02056514071428,06,39,017,Campoo de Yuso,2,Campoo-Los Valles,745,1316,920.526408,106.054428,0.0,33.572449,6.558114,5.794327,4029.926075,21787.356662,12907.026005,4402.384174,60.106245,9285.169631,5359.88767,1960.25785,1314.703636,17023.870052,8915.418033,3649.299293,2533.157427,10752.041756,7535.711511,1765.964094,38134.204041,3749.853493,4288.889586,11092.556908,3657.872479
4,39032,-4.229098387625,43.01432907791667,06,39,032,Hermandad de Campoo de Suso,2,Campoo-Los Valles,712,2155,1268.334007,309.800311,0.0,41.981731,13.731416,7.894937,1696.936902,21935.424357,10713.175091,4401.927564,1083.306994,21306.056293,10195.421113,4494.995219,1035.277836,21467.157443,9776.317072,4588.783021,1780.339417,21514.248952,10386.062489,4361.179622,40429.173213,9703.298414,6331.762426,9664.787384,5266.111092
4,39051,-4.075962222,43.08083049,06,39,051,Pesquera,2,Campoo-Los Valles,491,1072,731.720339,112.596021,0.6129,44.565964,18.30196,9.429756,9560.623315,12654.216268,11111.329567,791.218227,30.447772,2426.243625,1247.765676,590.960438,26.984425,3076.453067,1340.20526,704.757783,14.32989,2757.082218,1330.744499,577.893963,30609.886076,6928.34482,10922.124939,10420.841649,2787.054576
1,39059,-4.137972222,43.00105556,06,39,059,Reinosa,2,Campoo-Los Valles,837,907,856.22408,10.368299,0.0,9.966614,1.947525,1.586501,41.576798,1786.908309,881.273686,404.768842,151.352113,2218.627823,1335.35206,526.696478,61.068417,1854.155625,970.081509,445.439706,44.194268,2456.505212,995.939501,561.864758,40531.381622,692.963584,716.824294,1091.010003,890.698153
1,39065,-4.01681421475,42.971345525,06,39,065,"Rozas de Valdearroyo, Las",2,Campoo-Los Valles,801,1134,901.069265,66.99889,0.0,28.537191,6.811106,5.439717,5168.516384,15765.240554,10554.790681,2443.890127,3875.773367,11225.088405,8011.635301,1835.376033,3958.501173,12465.831739,8502.897907,2174.896747,5071.560817,12127.387057,8926.150364,1845.200909,44179.835495,2827.016112,7988.20146,10047.326957,2684.700457
3,39070,-4.0296227065,43.0634419525,06,39,070,San Miguel de Aguayo,2,Campoo-Los Valles,708,1319,958.996225,105.577849,0.0,36.369904,12.52742,6.67328,9035.089842,17473.741064,13053.91817,2107.951955,1236.76821,7419.20202,4836.735752,1504.759012,2334.534037,9854.856032,5937.257715,1833.902642,1670.931294,9340.226343,5442.537671,1756.349525,32790.142069,6025.363215,7165.640206,11866.28345,2728.297618
8,39077,-4.08130293575,43.057251915,06,39,077,Santiurde de Reinosa,2,Campoo-Los Valles,560,1246,870.321201,141.249612,0.274105,42.261524,15.83935,7.453367,5218.700028,11242.108849,8409.78617,1384.936716,20.74592,5651.381956,1973.835927,1266.860257,31.771343,4027.529301,1583.653168,939.046206,16.756299,5371.432432,2254.005725,1080.865168,33125.335011,7253.44547,8537.765791,7740.221673,2489.149577
1,39092,-4.1855281820000005,42.9057520415,06,39,092,Valdeolea,2,Campoo-Los Valles,906,1527,1017.329197,94.400724,0.0,28.227594,7.237073,4.972708,6139.179307,18332.893912,11588.786415,2811.645045,36.190103,8486.546012,3798.637543,1907.005969,126.015066,8836.265386,4266.61032,1898.230244,37.270926,9633.694498,3971.017045,2213.556628,51475.785248,9923.109383,4621.287201,4632.897484,3965.31269
7,39093,-4.0621042606,42.89408220333333,06,39,093,Valdeprado del RÃ­o,2,Campoo-Los Valles,750,1275,982.275248,101.976454,0.0,34.415546,10.039598,5.362587,7940.497383,18318.903548,13750.445332,2250.080835,51.958133,12214.248071,5564.194968,2739.39437,47.387743,12492.333203,5643.054025,2735.000727,237.258304,12259.568883,6033.720958,2582.962522,51990.2861,9593.630535,8186.663543,8636.859948,6189.523323
2,39094,-3.9678891954615385,42.83420912365385,06,39,094,Valderredible,2,Campoo-Los Valles,680,1281,908.643266,120.341901,0.0,44.866497,9.300841,6.193033,15305.704085,34195.219256,24056.449074,4195.365309,253.27272,13862.129051,8072.560186,2940.334138,1714.359994,26938.565242,14883.893608,6033.461711,1462.098728,23981.130811,13970.822036,5029.685904,55422.1532,12952.958655,7137.906219,7157.589219,3746.600435
9,39075,-3.8340167704000003,43.468023082,06,39,075,Santander,7,Metropolitana de Santander,-4,99,25.932561,18.973922,0.0,24.725409,3.461595,2.880546,35.816118,4147.156885,1671.173999,785.434955,5.055278,7981.258416,2736.969834,1790.893502,16.21989,6295.959479,1742.868156,1305.668956,9.863413,4814.231486,1672.947567,973.236032,1894.517652,1031.037837,673.276467,1849.59763,984.715084
